id,name,scientific_name,category,habitat,region,diet,conservation_status,fun_fact,description
1,Lion,Panthera leo,Mammal,open savanna and grassland,sub-Saharan Africa,large herbivores such as zebra and wildebeest (carnivore),Vulnerable,"The only big cat that lives in social groups, called prides.","Lion (Panthera leo) is a mammal that lives in open savanna and grassland, found in sub-Saharan Africa. Diet: large herbivores such as zebra and wildebeest (carnivore). Conservation status: Vulnerable. The only big cat that lives in social groups, called prides."
2,Tiger,Panthera tigris,Mammal,"forests, mangroves, and grasslands","South and Southeast Asia, Russian Far East","deer, wild boar, and other large mammals (carnivore)",Endangered,"Each tiger has a unique stripe pattern, like a fingerprint.","Tiger (Panthera tigris) is a mammal that lives in forests, mangroves, and grasslands, found in South and Southeast Asia, Russian Far East. Diet: deer, wild boar, and other large mammals (carnivore). Conservation status: Endangered. Each tiger has a unique stripe pattern, like a fingerprint."
3,African Elephant,Loxodonta africana,Mammal,"savanna, forest, and desert",sub-Saharan Africa,"grasses, bark, roots, and fruit (herbivore)",Endangered,"The largest living land animal; a trunk has over 40,000 muscles.","African Elephant (Loxodonta africana) is a mammal that lives in savanna, forest, and desert, found in sub-Saharan Africa. Diet: grasses, bark, roots, and fruit (herbivore). Conservation status: Endangered. The largest living land animal; a trunk has over 40,000 muscles."
4,Asian Elephant,Elephas maximus,Mammal,tropical forest and grassland,South and Southeast Asia,"grasses, bark, and fruit (herbivore)",Endangered,Smaller ears than its African cousin and only some males grow tusks.,"Asian Elephant (Elephas maximus) is a mammal that lives in tropical forest and grassland, found in South and Southeast Asia. Diet: grasses, bark, and fruit (herbivore). Conservation status: Endangered. Smaller ears than its African cousin and only some males grow tusks."
5,Giraffe,Giraffa camelopardalis,Mammal,savanna and open woodland,sub-Saharan Africa,acacia leaves and shoots (herbivore),Vulnerable,"The tallest living land animal, with a neck too short to have extra vertebrae - it has the same seven neck bones as a human.","Giraffe (Giraffa camelopardalis) is a mammal that lives in savanna and open woodland, found in sub-Saharan Africa. Diet: acacia leaves and shoots (herbivore). Conservation status: Vulnerable. The tallest living land animal, with a neck too short to have extra vertebrae - it has the same seven neck bones as a human."
6,Plains Zebra,Equus quagga,Mammal,grassland and savanna,eastern and southern Africa,grasses (herbivore),Near Threatened,No two zebras have the exact same stripe pattern.,"Plains Zebra (Equus quagga) is a mammal that lives in grassland and savanna, found in eastern and southern Africa. Diet: grasses (herbivore). Conservation status: Near Threatened. No two zebras have the exact same stripe pattern."
7,Hippopotamus,Hippopotamus amphibius,Mammal,rivers and lakes,sub-Saharan Africa,grasses (herbivore),Vulnerable,"Despite its bulk, a hippo can outrun a human on land over short distances.","Hippopotamus (Hippopotamus amphibius) is a mammal that lives in rivers and lakes, found in sub-Saharan Africa. Diet: grasses (herbivore). Conservation status: Vulnerable. Despite its bulk, a hippo can outrun a human on land over short distances."
8,White Rhinoceros,Ceratotherium simum,Mammal,grassland and savanna,southern Africa,grasses (herbivore),Near Threatened,"The wide, square lip is built for grazing on grass, unlike the black rhino's pointed lip.","White Rhinoceros (Ceratotherium simum) is a mammal that lives in grassland and savanna, found in southern Africa. Diet: grasses (herbivore). Conservation status: Near Threatened. The wide, square lip is built for grazing on grass, unlike the black rhino's pointed lip."
9,Black Rhinoceros,Diceros bicornis,Mammal,savanna and shrubland,eastern and southern Africa,leaves and shrubs (browser/herbivore),Critically Endangered,Uses its hooked upper lip to strip leaves from bushes.,"Black Rhinoceros (Diceros bicornis) is a mammal that lives in savanna and shrubland, found in eastern and southern Africa. Diet: leaves and shrubs (browser/herbivore). Conservation status: Critically Endangered. Uses its hooked upper lip to strip leaves from bushes."
10,Western Lowland Gorilla,Gorilla gorilla gorilla,Mammal,tropical rainforest,Central Africa,"fruit, leaves, and stems (herbivore)",Critically Endangered,Shares about 98% of its DNA with humans.,"Western Lowland Gorilla (Gorilla gorilla gorilla) is a mammal that lives in tropical rainforest, found in Central Africa. Diet: fruit, leaves, and stems (herbivore). Conservation status: Critically Endangered. Shares about 98% of its DNA with humans."
